"Index","Ticket","FixVersion"
"325","BOOKKEEPER-343","4.2.0"
"326","BOOKKEEPER-342","4.2.0"
"327","BOOKKEEPER-341","4.2.0"
"328","BOOKKEEPER-340","4.2.0"
"329","BOOKKEEPER-339","4.2.0"
"330","BOOKKEEPER-338","4.2.0"
"331","BOOKKEEPER-337","4.2.0"
"332","BOOKKEEPER-336","4.2.0"
"333","BOOKKEEPER-335","4.2.0"
"334","BOOKKEEPER-334","4.2.0"
"335","BOOKKEEPER-333","4.2.0"
"336","BOOKKEEPER-332","4.2.0"
"337","BOOKKEEPER-331","4.2.0"
"338","BOOKKEEPER-330","4.2.0"
"339","BOOKKEEPER-329","4.2.0"
"340","BOOKKEEPER-329","4.1.1"
"341","BOOKKEEPER-328","4.2.0"
"342","BOOKKEEPER-327","4.2.0"
"343","BOOKKEEPER-327","4.1.1"
"344","BOOKKEEPER-326","4.2.0"
"345","BOOKKEEPER-326","4.1.1"
"346","BOOKKEEPER-325","4.2.0"
"347","BOOKKEEPER-324","4.2.0"
"348","BOOKKEEPER-324","4.1.1"
"349","BOOKKEEPER-322","4.2.0"
"350","BOOKKEEPER-320","4.2.0"
"351","BOOKKEEPER-319","4.2.0"
"352","BOOKKEEPER-318","4.2.0"
"353","BOOKKEEPER-317","4.2.0"
"354","BOOKKEEPER-315","4.2.0"
"355","BOOKKEEPER-310","4.2.0"
"356","BOOKKEEPER-307","4.2.0"
"357","BOOKKEEPER-306","4.2.0"
"358","BOOKKEEPER-304","4.2.0"
"359","BOOKKEEPER-303","4.2.0"
"360","BOOKKEEPER-302","4.2.0"
"361","BOOKKEEPER-300","4.2.0"
"362","BOOKKEEPER-299","4.2.0"
"363","BOOKKEEPER-298","4.2.0"
"364","BOOKKEEPER-298","4.1.1"
"365","BOOKKEEPER-296","4.2.0"
"366","BOOKKEEPER-296","4.1.1"
"367","BOOKKEEPER-294","4.2.0"
"368","BOOKKEEPER-294","4.1.1"
"369","BOOKKEEPER-293","4.2.0"
"370","BOOKKEEPER-292","4.2.0"
"371","BOOKKEEPER-291","4.2.0"
"372","BOOKKEEPER-289","4.2.0"
"373","BOOKKEEPER-289","4.1.1"
"374","BOOKKEEPER-283","4.2.0"
"375","BOOKKEEPER-280","4.2.0"
"376","BOOKKEEPER-278","4.2.0"
"377","BOOKKEEPER-274","4.2.0"
"378","BOOKKEEPER-272","4.2.0"
"379","BOOKKEEPER-262","4.2.0"
"380","BOOKKEEPER-259","4.2.0"
"381","BOOKKEEPER-252","4.2.0"
"382","BOOKKEEPER-250","4.2.0"
"383","BOOKKEEPER-248","4.2.0"
"384","BOOKKEEPER-247","4.2.0"
"385","BOOKKEEPER-246","4.2.0"
"386","BOOKKEEPER-208","4.2.0"
"387","BOOKKEEPER-205","4.2.0"
"388","BOOKKEEPER-204","4.2.0"
"389","BOOKKEEPER-203","4.2.0"
"390","BOOKKEEPER-191","4.2.0"
"391","BOOKKEEPER-183","4.2.0"
"392","BOOKKEEPER-143","4.2.0"
"393","BOOKKEEPER-55","4.2.0"
"394","BOOKKEEPER-32","4.2.0"
"395","BOOKKEEPER-2","4.2.0"
"396","BOOKKEEPER-569","4.2.1"
"397","BOOKKEEPER-569","4.3.0"
"398","BOOKKEEPER-568","4.2.1"
"399","BOOKKEEPER-568","4.3.0"
"400","BOOKKEEPER-567","4.2.1"
"401","BOOKKEEPER-567","4.3.0"
"402","BOOKKEEPER-554","4.2.1"
"403","BOOKKEEPER-554","4.3.0"
"404","BOOKKEEPER-549","4.2.1"
"405","BOOKKEEPER-549","4.3.0"
"406","BOOKKEEPER-548","4.2.1"
"407","BOOKKEEPER-548","4.3.0"
"408","BOOKKEEPER-685","4.2.2"
"409","BOOKKEEPER-684","4.2.2"
"410","BOOKKEEPER-683","4.2.2"
"411","BOOKKEEPER-683","4.3.0"
"412","BOOKKEEPER-679","4.2.2"
"413","BOOKKEEPER-675","4.2.2"
"414","BOOKKEEPER-675","4.3.0"
"415","BOOKKEEPER-669","4.2.2"
"416","BOOKKEEPER-668","4.2.2"
"417","BOOKKEEPER-668","4.3.0"
"418","BOOKKEEPER-667","4.2.2"
"419","BOOKKEEPER-667","4.3.0"
"420","BOOKKEEPER-664","4.2.2"
"421","BOOKKEEPER-664","4.3.0"
"422","BOOKKEEPER-663","4.2.2"
"423","BOOKKEEPER-663","4.3.0"
"424","BOOKKEEPER-660","4.2.2"
"425","BOOKKEEPER-652","4.2.2"
"426","BOOKKEEPER-652","4.3.0"
"427","BOOKKEEPER-649","4.2.2"
"428","BOOKKEEPER-649","4.3.0"
"429","BOOKKEEPER-646","4.2.2"
"430","BOOKKEEPER-646","4.3.0"
"431","BOOKKEEPER-642","4.2.2"
"432","BOOKKEEPER-642","4.3.0"
"433","BOOKKEEPER-637","4.2.2"
"434","BOOKKEEPER-637","4.3.0"
"435","BOOKKEEPER-636","4.2.2"
"436","BOOKKEEPER-636","4.3.0"
"437","BOOKKEEPER-635","4.2.2"
"438","BOOKKEEPER-635","4.3.0"
"439","BOOKKEEPER-632","4.2.2"
"440","BOOKKEEPER-632","4.3.0"
"441","BOOKKEEPER-627","4.2.2"
"442","BOOKKEEPER-627","4.3.0"
"443","BOOKKEEPER-626","4.2.2"
"444","BOOKKEEPER-626","4.3.0"
"445","BOOKKEEPER-625","4.2.2"
"446","BOOKKEEPER-624","4.2.2"
"447","BOOKKEEPER-624","4.3.0"
"448","BOOKKEEPER-623","4.2.2"
"449","BOOKKEEPER-623","4.3.0"
"450","BOOKKEEPER-621","4.2.2"
"451","BOOKKEEPER-620","4.2.2"
"452","BOOKKEEPER-620","4.3.0"
"453","BOOKKEEPER-619","4.2.2"
"454","BOOKKEEPER-619","4.3.0"
"455","BOOKKEEPER-618","4.2.2"
"456","BOOKKEEPER-618","4.3.0"
"457","BOOKKEEPER-607","4.2.2"
"458","BOOKKEEPER-607","4.3.0"
"459","BOOKKEEPER-604","4.2.2"
"460","BOOKKEEPER-604","4.3.0"
"461","BOOKKEEPER-603","4.2.2"
"462","BOOKKEEPER-603","4.3.0"
"463","BOOKKEEPER-601","4.2.2"
"464","BOOKKEEPER-601","4.3.0"
"465","BOOKKEEPER-600","4.2.2"
"466","BOOKKEEPER-600","4.3.0"
"467","BOOKKEEPER-598","4.2.2"
"468","BOOKKEEPER-598","4.3.0"
"469","BOOKKEEPER-596","4.2.2"
"470","BOOKKEEPER-596","4.3.0"
"471","BOOKKEEPER-595","4.2.2"
"472","BOOKKEEPER-595","4.3.0"
"473","BOOKKEEPER-585","4.2.2"
"474","BOOKKEEPER-585","4.3.0"
"475","BOOKKEEPER-584","4.2.2"
"476","BOOKKEEPER-584","4.3.0"
"477","BOOKKEEPER-583","4.2.2"
"478","BOOKKEEPER-583","4.3.0"
"479","BOOKKEEPER-581","4.2.2"
"480","BOOKKEEPER-581","4.3.0"
"481","BOOKKEEPER-580","4.2.2"
"482","BOOKKEEPER-580","4.3.0"
"483","BOOKKEEPER-579","4.2.2"
"484","BOOKKEEPER-579","4.3.0"
"485","BOOKKEEPER-577","4.2.2"
"486","BOOKKEEPER-577","4.3.0"
"487","BOOKKEEPER-562","4.2.2"
"488","BOOKKEEPER-562","4.3.0"
"489","BOOKKEEPER-559","4.2.2"
"490","BOOKKEEPER-559","4.3.0"
"491","BOOKKEEPER-556","4.2.2"
"492","BOOKKEEPER-556","4.3.0"
"493","BOOKKEEPER-446","4.2.2"
"494","BOOKKEEPER-446","4.3.0"
"495","BOOKKEEPER-313","4.2.2"
"496","BOOKKEEPER-313","4.3.0"
"497","BOOKKEEPER-257","4.2.2"
"498","BOOKKEEPER-257","4.3.0"
"499","BOOKKEEPER-790","4.3.0"
"500","BOOKKEEPER-790","4.4.0"
"501","BOOKKEEPER-789","4.3.0"
"502","BOOKKEEPER-789","4.4.0"
"503","BOOKKEEPER-787","4.3.0"
"504","BOOKKEEPER-786","4.3.0"
"505","BOOKKEEPER-785","4.3.0"
"506","BOOKKEEPER-784","4.3.0"
"507","BOOKKEEPER-783","4.3.0"
