"Dataset","#TrainingRelease","%Training","%DefectiveInTraining","%DefectiveInTesting","Classifier","Balancing","Feature Selection","TruePositive","FalsePositive","TrueNegative","FalseNegative","Precision","Recall","AUC","Kappa"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Naive Bayes","SMOTE","No Selection","0.8333333333333334","0.06504065040650407","0.9349593495934959","0.16666666666666666","0.1282051282051282","0.8333333333333334","0.9614020404909931","0.20661715057393706"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","Naive Bayes","SMOTE","Best First","0.7916666666666666","0.062649450023912","0.937350549976088","0.20833333333333334","0.12666666666666668","0.7916666666666666","0.930939143950263","0.2027937141431776"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","IBK","No Sampling","No Selection","0.875","0.060736489717838356","0.9392635102821616","0.125","0.14189189189189189","0.875","0.9071317551410808","0.22913232177101966"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","IBK","No Sampling","Best First","0.8333333333333334","0.06217120994739359","0.9378287900526064","0.16666666666666666","0.13333333333333333","0.8333333333333334","0.8522487246931293","0.21451733599401324"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","IBK","Oversampling","No Selection","0.9583333333333334","0.07604017216642754","0.9239598278335724","0.041666666666666664","0.12637362637362637","0.9583333333333334","0.9414056272915671","0.20740876066274092"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","IBK","Oversampling","Best First","0.875","0.06982305117168819","0.9301769488283118","0.125","0.12574850299401197","0.875","0.8650042842340188","0.204102043444989"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","IBK","Undersampling","No Selection","0.9583333333333334","0.08273553323768532","0.9172644667623147","0.041666666666666664","0.11734693877551021","0.9583333333333334","0.937968276741591","0.19276934010686692"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","IBK","Undersampling","Best First","0.875","0.07317073170731707","0.926829268292683","0.125","0.1206896551724138","0.875","0.8635023114937032","0.1960878908819786"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","IBK","SMOTE","No Selection","0.875","0.060736489717838356","0.9392635102821616","0.125","0.14189189189189189","0.875","0.9071317551410808","0.22913232177101966"
"BOOK","5","71.42857142857143","0.035456801796477956","0.011342155009451797","IBK","SMOTE","Best First","0.8333333333333334","0.06217120994739359","0.9378287900526064","0.16666666666666666","0.13333333333333333","0.8333333333333334","0.8670118962219034","0.21451733599401324"
