"Dataset","#TrainingRelease","%Training","%DefectiveInTraining","%DefectiveInTesting","Classifier","Balancing","Feature Selection","TruePositive","FalsePositive","TrueNegative","FalseNegative","Precision","Recall","AUC","Kappa"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Random Forest","SMOTE","Best First","0.12435233160621761","0.028154681139755767","0.9718453188602443","0.8756476683937824","0.5363128491620112","0.12435233160621761","0.7955830685245464","0.13425875957887326"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Naive Bayes","No Sampling","No Selection","0.5051813471502591","0.16010854816824965","0.8398914518317503","0.4948186528497409","0.45243619489559167","0.5051813471502591","0.8121919840271089","0.3308382930824137"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Naive Bayes","No Sampling","Best First","0.42487046632124353","0.10888738127544098","0.891112618724559","0.5751295336787565","0.5053929121725732","0.42487046632124353","0.7856509814329202","0.33572420953561843"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Naive Bayes","Oversampling","No Selection","0.5880829015544041","0.2225237449118046","0.7774762550881954","0.4119170984455959","0.409009009009009","0.5880829015544041","0.8069684549461829","0.3147072174307761"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Naive Bayes","Oversampling","Best First","0.46632124352331605","0.14009497964721845","0.8599050203527816","0.533678756476684","0.46571798188874514","0.46632124352331605","0.7993677983141289","0.3260703820559486"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Naive Bayes","Undersampling","No Selection","0.5932642487046632","0.21438263229308005","0.7856173677069199","0.4067357512953368","0.42018348623853213","0.5932642487046632","0.8049850254146133","0.32888353217587646"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Naive Bayes","Undersampling","Best First","0.4689119170984456","0.13602442333785617","0.8639755766621439","0.5310880829015544","0.4744429882044561","0.4689119170984456","0.7978923095310072","0.3343259501938162"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Naive Bayes","SMOTE","No Selection","0.43005181347150256","0.1010854816824966","0.8989145183175034","0.5699481865284974","0.526984126984127","0.43005181347150256","0.8123721360226658","0.35292453897499715"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","Naive Bayes","SMOTE","Best First","0.3873056994818653","0.07937584803256445","0.9206241519674355","0.6126943005181347","0.5609756097560976","0.3873056994818653","0.7819181002664491","0.34765138226353093"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","IBK","No Sampling","No Selection","0.13730569948186527","0.037991858887381276","0.9620081411126187","0.8626943005181347","0.48623853211009177","0.13730569948186527","0.5489960700501262","0.13509261827118935"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","IBK","No Sampling","Best First","0.16191709844559585","0.037991858887381276","0.9620081411126187","0.8380829015544041","0.5274261603375527","0.16191709844559585","0.6421102653243439","0.16651316348797032"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","IBK","Oversampling","No Selection","0.39378238341968913","0.08276797829036635","0.9172320217096337","0.6062176165803109","0.5547445255474452","0.39378238341968913","0.633642901835617","0.34831389901503046"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","IBK","Oversampling","Best First","0.29015544041450775","0.060379918588873815","0.9396200814111262","0.7098445595854922","0.5572139303482587","0.29015544041450775","0.6305124313664836","0.27915289415020356"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","IBK","Undersampling","No Selection","0.7590673575129534","0.2856173677069199","0.7143826322930801","0.24093264248704663","0.4103641456582633","0.7590673575129534","0.7368884498843512","0.3604193760737279"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","IBK","Undersampling","Best First","0.4727979274611399","0.16180461329715062","0.8381953867028494","0.5272020725388601","0.4334916864608076","0.4727979274611399","0.6563809397431121","0.30092312297195245"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","IBK","SMOTE","No Selection","0.13730569948186527","0.037991858887381276","0.9620081411126187","0.8626943005181347","0.48623853211009177","0.13730569948186527","0.5489960700501262","0.13509261827118935"
"TAJO","4","80.0","0.02257659917577495","0.20741536808167652","IBK","SMOTE","Best First","0.16191709844559585","0.037991858887381276","0.9620081411126187","0.8380829015544041","0.5274261603375527","0.16191709844559585","0.675601400088582","0.16651316348797032"
