"Version","Class","NFix","NRevision","NAuthor","LocAdded","LocDeleted","LocTouched","MaxLockAdded","AverageLockAdded","Size","Age","Buggy"
"1","HttpDataServerHandler.java","1","164","1","82775","314577","397352","82775","82775.0","230","0","NO"
"1","HttpUtil.java","0","69","1","0","0","0","0","0","69","0","NO"
"1","PullServerConstants.java","0","0","0","0","0","0","0","0","93","127","NO"
"1","PullServerUtil.java","0","0","0","0","0","0","0","0","728","43","NO"
"1","AdvancedDataRetriever.java","1","112","1","82703","306590","389293","82703","82703.0","128","0","NO"
"1","DataRetriever.java","0","27","1","0","0","0","0","0","29","0","NO"
"1","DirectoryRetriever.java","1","53","1","0","0","0","0","0","57","0","NO"
"1","FileChunk.java","0","46","1","0","0","0","0","0","81","0","NO"
"1","FileChunkMeta.java","0","0","0","0","0","0","0","0","53","127","NO"
"1","IndexCacheKey.java","0","0","0","0","0","0","0","0","63","127","NO"
"1","RetrieverHandler.java","0","33","1","0","0","0","0","0","33","0","NO"
"1","TajoPullServer.java","0","0","0","0","0","0","0","0","70","41","NO"
"1","TajoPullServerService.java","2","205","1","32712","96804","129516","32712","32712.0","628","0","NO"
"1","NettyServerBase.java","2","141","1","60532","135764","196296","60532","60532.0","242","0","NO"
"1","NettyUtils.java","0","0","0","6187","30766","36953","6187","6187.0","156","94","NO"
"1","RemoteException.java","0","37","1","0","0","0","0","0","37","0","NO"
"1","RetriesExhaustedException.java","0","104","1","0","0","0","0","0","104","0","NO"
"1","RpcConstants.java","0","0","0","0","0","0","0","0","52","73","NO"
"1","RpcEventListener.java","0","0","0","0","0","0","0","0","62","69","NO"
"1","RpcUtils.java","0","0","0","11197","14951","26148","11197","11197.0","93","59","NO"
"1","AsyncRpcClient.java","2","75","1","82775","314577","397352","82775","82775.0","157","0","NO"
"1","AsyncRpcServer.java","2","58","1","60532","135764","196296","60532","60532.0","151","0","NO"
"1","BlockingRpcClient.java","2","116","1","50521","119787","170308","50521","50521.0","223","0","NO"
"1","BlockingRpcServer.java","1","63","1","60532","135764","196296","60532","60532.0","144","0","NO"
"1","CallFuture.java","2","68","1","82775","314577","397352","82775","82775.0","92","0","NO"
"1","CancelableRpcCallback.java","0","0","0","0","0","0","0","0","74","72","NO"
"1","ChannelEventListener.java","0","0","0","4696","9687","14383","4696","4696.0","39","73","NO"
"1","DefaultRpcController.java","1","59","1","111725","305662","417387","111725","111725.0","65","0","NO"
"1","MonitorClientHandler.java","0","0","0","0","0","0","0","0","101","74","NO"
"1","MonitorServerHandler.java","0","0","0","0","0","0","0","0","73","74","NO"
"1","MonitorStateEvent.java","0","0","0","0","0","0","0","0","49","74","NO"
"1","NettyClientBase.java","1","33","2","82389","273152","355541","82389","82389.0","431","0","NO"
"1","NettyRpcController.java","0","63","1","0","0","0","0","0","63","0","NO"
"1","NullCallback.java","1","36","1","83604","328510","412114","83604","83604.0","43","0","NO"
"1","ProtoClientChannelInitializer.java","0","0","0","12183","30442","42625","12183","12183.0","70","66","NO"
"1","ProtoDeclaration.java","0","0","0","0","0","0","0","0","24","73","NO"
"1","ProtoServerChannelInitializer.java","0","0","0","0","0","0","0","0","50","66","NO"
"1","RecoverableException.java","0","0","0","4696","9687","14383","4696","4696.0","42","73","NO"
"1","RemoteCallException.java","1","54","1","81830","184912","266742","81830","81830.0","69","0","NO"
"1","RpcClientManager.java","0","0","0","4696","9687","14383","4696","4696.0","225","73","NO"
"1","RpcConnectionKey.java","0","0","0","0","0","0","0","0","56","96","NO"
"1","TajoServiceException.java","0","0","0","0","0","0","0","0","58","22","NO"
"1","DummyProtocolAsyncImpl.java","2","83","1","83622","333683","417305","83622","83622.0","103","0","NO"
"1","DummyProtocolBlockingImpl.java","1","82","1","83622","333683","417305","83622","83622.0","94","0","NO"
"1","TestAsyncRpc.java","4","122","1","61851","154103","215954","61851","61851.0","616","0","NO"
"1","TestBlockingRpc.java","4","107","1","61851","154103","215954","61851","61851.0","563","0","NO"
"1","TestRpcClientManager.java","0","0","0","4696","9687","14383","4696","4696.0","173","73","NO"
"1","GsonFeature.java","0","0","0","3540","11523","15063","3540","3540.0","55","69","NO"
"1","GsonReader.java","0","0","0","0","0","0","0","0","73","69","NO"
"1","GsonUtil.java","0","0","0","0","0","0","0","0","32","69","NO"
"1","GsonWriter.java","0","0","0","0","0","0","0","0","80","69","NO"
"1","NettyRestChannelInitializer.java","0","0","0","0","0","0","0","0","50","69","NO"
"1","NettyRestHandlerContainer.java","0","0","0","0","0","0","0","0","307","69","NO"
"1","NettyRestHandlerContainerProvider.java","0","0","0","0","0","0","0","0","42","69","NO"
"1","NettyRestServer.java","0","0","0","0","0","0","0","0","67","69","NO"
"1","NettyRestServerFactory.java","0","0","0","0","0","0","0","0","89","69","NO"
"1","NettyRestServerListener.java","0","0","0","0","0","0","0","0","78","69","NO"
"1","ResourceConfigUtil.java","0","0","0","0","0","0","0","0","38","71","NO"
"1","NettyRestHandlerContainerProviderTest.java","0","0","0","0","0","0","0","0","66","69","NO"
"1","NettyRestServerTest.java","0","0","0","0","0","0","0","0","137","69","NO"
"1","TestApplication1.java","0","0","0","0","0","0","0","0","38","69","NO"
"1","TestResource1.java","0","0","0","0","0","0","0","0","36","69","NO"
"1","DirectoriesDao.java","0","0","0","0","0","0","0","0","39","69","NO"
"1","DirectoriesResource.java","0","0","0","0","0","0","0","0","85","69","NO"
"1","Directory.java","0","0","0","0","0","0","0","0","54","69","NO"
