"Version","Class","NFix","NRevision","NAuthor","LocAdded","LocDeleted","LocTouched","MaxLockAdded","AverageLockAdded","Size","Age","Buggy"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/ValueListExpr.java","1","40","1","82133","191653","273786","82133","82133.0","59","0","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/Window.java","0","0","0","0","0","0","0","0","64","21","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/WindowFunctionExpr.java","0","0","0","120710","143085","263795","120710","120710.0","71","21","NO"
"1","/tajo-algebra/src/main/java/org/apache/tajo/algebra/WindowSpec.java","0","0","0","69654","171066","240720","69654","69654.0","242","33","NO"
"1","/tajo-algebra/src/test/java/org/apache/tajo/algebra/AlgebraTestingUtil.java","0","31","1","0","0","0","0","0","31","0","NO"
"1","/tajo-algebra/src/test/java/org/apache/tajo/algebra/TestExpr.java","2","140","1","50436","118362","168798","50436","50436.0","188","0","NO"
"1","/tajo-catalog/tajo-catalog-client/src/main/java/org/apache/tajo/catalog/AbstractCatalogClient.java","3","140","1","51164","121407","172571","51164","51164.0","961","0","NO"
"1","/tajo-catalog/tajo-catalog-client/src/main/java/org/apache/tajo/catalog/CatalogClient.java","2","43","1","83576","334269","417845","83576","83576.0","85","0","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/AlreadyRegisteredURIException.java","0","40","1","0","0","0","0","0","40","0","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/AlterTableDesc.java","0","0","0","1559","8505","10064","1559","1559.0","243","18","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/AlterTableType.java","0","0","0","0","0","0","0","0","22","18","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/AttributeType.java","0","25","1","0","0","0","0","0","25","0","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogConstants.java","0","38","3","0","0","0","0","0","66","0","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogService.java","1","64","1","51164","121407","172571","51164","51164.0","260","0","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogUtil.java","2","82","3","51164","121407","172571","51164","51164.0","803","0","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/Column.java","5","71","2","60749","138539","199288","60749","60749.0","178","0","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/DDLBuilder.java","2","62","1","23279","48434","71713","23279","23279.0","209","0","NO"
"1","/tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/FieldConverter.java","0","0","0","0","0","0","0","0","57","126","NO"
