"Ticket","FixVersion","AffectedVersion"
"TAJO-759","0.8.0","0.8.0"
"TAJO-759","0.9.0","0.8.0"
"TAJO-754","0.8.0","0.8.0"
"TAJO-754","0.9.0","0.8.0"
"TAJO-748","0.8.0","0.8.0"
"TAJO-748","0.9.0","0.8.0"
"TAJO-741","0.8.0","0.8.0"
"TAJO-741","0.9.0","0.8.0"
"TAJO-719","0.8.0","0.8.0"
"TAJO-719","0.9.0","0.8.0"
"TAJO-718","0.8.0","0.8.0"
"TAJO-718","0.9.0","0.8.0"
"TAJO-716","0.8.0","0.8.0"
"TAJO-716","0.9.0","0.8.0"
"TAJO-707","0.8.0","0.8.0"
"TAJO-705","0.8.0","0.8.0"
"TAJO-705","0.9.0","0.8.0"
"TAJO-701","0.8.0","0.8.0"
"TAJO-701","0.9.0","0.8.0"
"TAJO-690","0.8.0","0.8.0"
"TAJO-690","0.9.0","0.8.0"
"TAJO-689","0.8.0","0.8.0"
"TAJO-689","0.9.0","0.8.0"
"TAJO-682","0.8.0","0.8.0"
"TAJO-682","0.9.0","0.8.0"
"TAJO-679","0.8.0","0.8.0"
"TAJO-672","0.8.0","0.8.0"
"TAJO-672","0.9.0","0.8.0"
"TAJO-663","0.8.0","0.8.0"
"TAJO-663","0.9.0","0.8.0"
"TAJO-653","0.8.0","0.8.0"
"TAJO-653","0.9.0","0.8.0"
"TAJO-652","0.8.0","0.8.0"
"TAJO-652","0.9.0","0.8.0"
"TAJO-651","0.8.0","0.8.0"
"TAJO-651","0.9.0","0.8.0"
"TAJO-650","0.8.0","0.8.0"
"TAJO-650","0.9.0","0.8.0"
"TAJO-648","0.9.0","0.9.0"
"TAJO-647","0.8.0","0.8.0"
"TAJO-647","0.9.0","0.8.0"
"TAJO-646","0.8.0","0.8.0"
"TAJO-645","0.8.0","0.8.0"
"TAJO-645","0.9.0","0.8.0"
"TAJO-641","0.8.0","0.8.0"
"TAJO-641","0.9.0","0.8.0"
"TAJO-640","0.8.0","0.8.0"
"TAJO-640","0.9.0","0.8.0"
"TAJO-638","0.8.0","0.8.0"
"TAJO-638","0.9.0","0.8.0"
"TAJO-635","0.8.0","0.8.0"
