"Index","Ticket","FixVersion"
"269","TAJO-717","0.9.0"
"270","TAJO-716","0.8.0"
"271","TAJO-716","0.9.0"
"272","TAJO-714","0.8.0"
"273","TAJO-714","0.9.0"
"274","TAJO-713","0.8.0"
"275","TAJO-713","0.9.0"
"276","TAJO-712","0.8.0"
"277","TAJO-712","0.9.0"
"278","TAJO-711","0.8.0"
"279","TAJO-711","0.9.0"
"280","TAJO-707","0.8.0"
"281","TAJO-706","0.8.0"
"282","TAJO-706","0.9.0"
"283","TAJO-705","0.8.0"
"284","TAJO-705","0.9.0"
"285","TAJO-701","0.8.0"
"286","TAJO-701","0.9.0"
"287","TAJO-700","0.8.0"
"288","TAJO-700","0.9.0"
"289","TAJO-698","0.8.0"
"290","TAJO-698","0.9.0"
"291","TAJO-697","0.8.0"
"292","TAJO-697","0.9.0"
"293","TAJO-696","0.8.0"
"294","TAJO-696","0.9.0"
"295","TAJO-694","0.8.0"
"296","TAJO-694","0.9.0"
"297","TAJO-693","0.8.0"
"298","TAJO-693","0.9.0"
"299","TAJO-692","0.8.0"
"300","TAJO-691","0.8.0"
"301","TAJO-691","0.9.0"
"302","TAJO-690","0.8.0"
"303","TAJO-690","0.9.0"
"304","TAJO-689","0.8.0"
"305","TAJO-689","0.9.0"
"306","TAJO-687","0.8.0"
"307","TAJO-686","0.8.0"
"308","TAJO-686","0.9.0"
"309","TAJO-685","0.8.0"
"310","TAJO-682","0.8.0"
"311","TAJO-682","0.9.0"
"312","TAJO-681","0.8.0"
"313","TAJO-681","0.9.0"
"314","TAJO-679","0.8.0"
"315","TAJO-675","0.8.0"
"316","TAJO-675","0.9.0"
"317","TAJO-674","0.8.0"
"318","TAJO-674","0.9.0"
"319","TAJO-672","0.8.0"
"320","TAJO-672","0.9.0"
"321","TAJO-671","0.8.0"
"322","TAJO-670","0.8.0"
"323","TAJO-670","0.9.0"
"324","TAJO-669","0.8.0"
"325","TAJO-669","0.9.0"
"326","TAJO-665","0.8.0"
"327","TAJO-665","0.9.0"
"328","TAJO-663","0.8.0"
"329","TAJO-663","0.9.0"
"330","TAJO-659","0.8.0"
"331","TAJO-659","0.9.0"
"332","TAJO-657","0.8.0"
"333","TAJO-657","0.9.0"
"334","TAJO-655","0.8.0"
"335","TAJO-653","0.8.0"
